goos: linux
goarch: amd64
pkg: github.com/molulan/bsc-bls/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500H
BenchmarkSinglesigVerification/aggregate_verification_of_50_signatures-2        	      15	 108804404 ns/op	  131776 B/op	    1851 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_75_signatures-2        	       5	 216281512 ns/op	  181200 B/op	    2250 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_75_signatures-2        	       4	 289873156 ns/op	  181244 B/op	    2250 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_75_signatures-2        	       4	 315914112 ns/op	  181244 B/op	    2250 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_75_signatures-2        	       3	 390689738 ns/op	  181200 B/op	    2250 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_75_signatures-2        	       4	 266244203 ns/op	  181200 B/op	    2250 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_75_signatures-2         	       5	 245634728 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_75_signatures-2         	       3	 391786040 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_75_signatures-2         	       5	 225681532 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_75_signatures-2         	       5	 217022929 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_75_signatures-2         	       4	 250749765 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_75_signatures-2        	       6	 170342934 ns/op	  197405 B/op	    2776 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_75_signatures-2        	      12	 127814756 ns/op	  197376 B/op	    2776 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_75_signatures-2        	       8	 131781415 ns/op	  197376 B/op	    2776 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_75_signatures-2        	      10	 134799012 ns/op	  197393 B/op	    2776 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_75_signatures-2        	       8	 188544452 ns/op	  197376 B/op	    2776 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_100_signatures-2       	       4	 286918644 ns/op	  241644 B/op	    3000 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_100_signatures-2       	       3	 341501304 ns/op	  241605 B/op	    3000 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_100_signatures-2       	       3	 425772862 ns/op	  241600 B/op	    3000 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_100_signatures-2       	       4	 323429773 ns/op	  241600 B/op	    3000 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_100_signatures-2       	       4	 294162726 ns/op	  241600 B/op	    3000 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_100_signatures-2        	       3	 391102160 ns/op	  320000 B/op	    3800 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_100_signatures-2        	       3	 393015202 ns/op	  320000 B/op	    3800 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_100_signatures-2        	       3	 375099647 ns/op	  320000 B/op	    3800 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_100_signatures-2        	       4	 327498872 ns/op	  320000 B/op	    3800 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_100_signatures-2        	       4	 297747779 ns/op	  320000 B/op	    3800 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_100_signatures-2       	       7	 172066270 ns/op	  263001 B/op	    3701 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_100_signatures-2       	       4	 282524977 ns/op	  262976 B/op	    3701 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_100_signatures-2       	       4	 307033834 ns/op	  263020 B/op	    3701 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_100_signatures-2       	       7	 149782019 ns/op	  262976 B/op	    3701 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_100_signatures-2       	       7	 167547313 ns/op	  262976 B/op	    3701 allocs/op
PASS
ok  	github.com/molulan/bsc-bls/bench	143.187s
